a lot	a lot: adv. muito
absent	<i>vt</i> ausentar(-se), afastar(-se). <i>he absented himself from the meeting</i> / ele ausentou-se da reunião. •<i> adj</i> [´æbs2nt] <b>1 </b>ausente, não-presente, fora de casa.<b> 2</b> inexistente, desaparecido.<b> 3</b> distraído. <b>absent time </b>período de ausência.<b> absent with leave </b>ausente<b> </b>com licença.<b> long absent, soon forgotten </b>longe da vista, longe do coração.
absenteeism	<i>n</i> absentismo, ausência permanente.
absolute	<i>n</i> absoluto. •<i> adj</i> <b>1 </b>absoluto, total, completo, inteiro, pleno. <b>2</b> absoluto, puro, isento de misturas. <b>3</b> perfeito, acabado, primoroso. <b>4</b> ilimitado, irrestrito, incondicional.<b> 5</b> incomparável, exímio. <b>6</b> real, atual. <b>7</b> certo, infalível. <b>8</b> <i>Gram</i> parte de uma frase não ligada a ela do ponto de vista gramatical. <b>absolute</b> <b>alcohol </b>álcool puro. <b>absolute freedom </b>liberdade irrestrita.<b> absolute</b> <b>humidity </b>umidade absoluta.<b> absolute</b> <b>ignorance </b>plena<b> </b>ignorância. <b>absolute</b> <b>monopoly</b> monopólio absoluto. <b>absolute temperature </b>temperatura absoluta. <b>absolute title</b> escritura definitiva.<b> absolute value</b> valor absoluto.<b> absolute zero</b> zero absoluto.<b> an absolute fool</b> um tolo completo.<b> in absolute possession</b> em<b> </b>posse irrestrita.<b> to</b> <b>become absolute</b> entrar em vigor.
absolutely	<i>adv</i> <b>1 </b>absolutamente. <b>2</b> completamente, plenamente. <b>3</b> prontamente, irrestritamente. <b>4</b> realmente, positivamente.
absolutist	<b> </b><i>n+adj </i>absolutista.
absorb	<i>vt</i><b> 1 </b>absorver: a) sorver. b) engolir. c) consumir.<b> 2</b> sugar, beber. <b>3</b> embeber.<b> 4</b> apreender o interesse, entusiasmar.<b> 5</b> assimilar.<b> 6</b> <i>Tech</i> amortecer.
abstention	<i>n</i> abstenção, abstinência.
abstraction	<i>n</i> <b>1 </b>abstração. <b>2</b> subtração, furto. <b>3</b> separação. <b>4</b> sublimação, idéia abstrata.<b> 5</b> distração, preocupação.
absurd	<i>adj</i> absurdo, paradoxal, sem razão, ridículo.
abundance	<i>n</i> abundância, fartura.<b> abundance</b> <b>is welcome </b>antes muito<b> </b>do que pouco. <b>out of the abundance of the heart the mouth speaketh </b>quando o coração está cheio, transborda a boca.
abundant	<i>adj</i> abundante, copioso, opulento.
abuse	<i>n</i> <b>1 </b>abuso, mau uso, uso excessivo.<b> 2</b> tratamento áspero ou brutal de uma pessoa.<b> 3</b> injúria, insulto, linguagem ofensiva.<b> 4 </b>corrupção, depravação.<b> 5</b> <b>abuses</b> contrariedades. • [2bj´u:z] <i>vt</i> <b>1</b> abusar, usar mal. <b>2</b> maltratar, prejudicar. <b>3</b> injuriar, insultar, ofender. <b>a crying abuse</b> um abuso<b> </b>gritante.
abyss	<i>n</i> <b>1 </b>abismo, garganta, precipício. <b>2</b> profundidades da terra ou do mar.<b> 3</b> inferno, caos.
academic	<b> </b><i>n</i><b> </b>acadêmico: estudante ou professor universitário. •<b> </b><i>adj</i> acadêmico:<b> 1 </b>universitário.<b> 2</b> erudito, douto.<b> 3</b> teórico, teorético.<b> 4</b> convencional, formal. <b>academic award </b>prêmio acadêmico. <b>academic discussions </b>discussões teóricas. <b>academic freedom </b>liberdade do ensino universitário, liberdade acadêmica.<b> academic life </b>vida acadêmica. <b>academic year </b>ano letivo das universidades.
acceleration	<i>n</i> <b>1 </b>aceleração.<b> 2</b> aumen­to gradual da velocidade. <b>3</b> proporção de alteração da velocidade.
accent	<i>n</i> <b>1 </b>acento, pronúncia silábica, tonicidade.<b> 2</b> acento gráfico, marca ou símbolo da acentuação. <b>3</b> pronúncia característica, sotaque. <i>he has a French accent</i><b> </b>/ ele<b> </b>tem um sotaque francês.<b> 4</b> <b>accents</b> tonalidade, timbre da voz.<b> 5</b> sinal diacrítico.<b> 6</b><i> Poet</i> ênfase, cadência métrica.<b> 7</b><i> Mus </i>modulação rítmica, acentuação da melodia. • [æks´ent] <i>vt</i><b> 1 </b>pronunciar, acentuar, modular, cadenciar. <b>2</b> pôr os sinais diacríticos.<b> 3</b> dar ênfase, destacar, salientar.<b> the Cockney accent</b> o sotaque do Cockney.<b> to put the accent on </b>pôr acento em.
accept	<i>vt+vi</i><b> 1 </b>aceitar, receber. <i>accept the assurance of my highest consideration</i><b> </b>/<b> </b>queira acei­tar a expressão da minha mais alta consideração.<b> 2</b> concordar, consentir.<b> 3</b> reconhecer, acreditar.<b> 4</b> aprovar, admitir.<b> 5</b> assumir a responsabilidade.<b> 6</b> acolher.
acceptable	<i>adj</i> <b>1 </b>aceitável, admis­sí­vel, satisfatório. <i>acceptable sampling</i><b> </b>/<b> </b>amos­tragem aceitável.<b> 2</b> agradável, bem-vindo.
acceptance	<i>n</i> <b>1 </b>aceitação.<b> 2</b> boa acolhida.<b> 3</b> aprovação, consentimento.<b> 4</b> acordo, contrato. <b>acceptance of life </b>concepção positiva da vida. <b>acceptance test </b>ensaio de homologação ou recepção.
access	<i>n</i> <b>1 </b>acesso, admissão. <b>2</b> passagem.<b> 3</b> aproximação.<b> 4</b> acessibilidade: facilidade relativa de obtenção. <b>5</b> ataque de doença ou de raiva. <b>an access of emotion </b>um acesso de comoção.<b> difficult of access</b><i> </i>de difícil acesso.
accident	<b> </b><i>n</i><b> 1 </b>acidente, desastre, sinistro.<b> 2</b> casualidade, contingência, acaso.<b> 3</b> bagatela, insignificância. <b>a car accident </b>um acidente de carro.<b> accident</b> <b>death </b>morte por acidente. <b>accident</b> <b>insurance </b>seguro contra acidentes.<b> accident prone </b>propenso a acidentes.<b> by accident</b> por acaso. <b>in a railway accident</b> num desastre ferroviário.
accidentally	<i>adv</i> acidentalmente.
accommodate	<i>vt+vi</i><b> 1 </b>acomodar, hospedar. <b>2</b> obsequiar, fazer um favor.<b> </b><i>he did it to accommodate you</i><b> </b>/<b> </b>ele o fez para obsequiá-lo. <b>3</b> prover, abrigar, aprovisionar.<b> 4</b> fornecer, suprir. <b>5</b> emprestar (dinheiro).<b> 6</b> adaptar, ajustar, tornar conveniente.
accommodation	<i>n</i><b> 1 </b>acomodação, morada, alojamento.<b> 2</b> auxílio, favor.<b> 3</b> empréstimo, adiantamento.<b> 4</b> prestimosidade, boa vontade, obsequiosidade.<b> 5</b> adaptação, ajustamento. <b>accommodation</b> <b>for books </b>espaço para livros.<b> accommodation</b> <b>for people </b>acomodação para pessoas.
accompanier	accompanier: n. acompanhante
accompany	<i>vt+vi</i><b> 1 </b>acompanhar, ir em companhia, escoltar.<b> 2</b> participar, associar.<b> 3</b> seguir, unir-se a. <b>4</b><i> Mus </i>tocar o acompanhamento, fazer-se acompanhar (por instrumentos).
accomplish	<i>vt</i><b> 1 </b>executar, realizar, efetuar.<b> 2</b> concluir, completar, finalizar.
accord	<i>n</i> <b>1 </b>acordo.<b> </b><i>I do this of my own accord</i> / faço isto por iniciativa própria.<b> </b><i>the decision was in accord with popular wish</i><b> </b>/ a decisão estava de acordo com o desejo popular. <b>2</b> concordância.<b> </b><i>they agreed with one accord</i> / eles concordaram unanimemente.<b> 3</b> harmonia.<b> 4</b> tratado, pacto, convênio. • <i>vt+vi</i><b> 1 </b>concordar, estar de acordo. <i>the article accorded with our policy </i>/<i> </i>o artigo estava de acordo com nossa política. <b>2</b> conceder, dar,<b> </b>conferir, consentir.<b> 3</b> harmonizar.<b> 4</b> atender.
according	<i>adj</i> <b>1 </b>de acordo, em conformidade (<b>to</b> com).<b> 2</b> correspondente (<b>to</b> a). • <i>adv</i> <b>1 </b>conformemente, adequadamente.<b> 2</b> portanto, conseqüentemente. <b>that’s according</b> <i>coll </i>conforme.
according to	<i>prep </i><b>1</b> de acordo com, conforme. <i>he did everything according to our plans</i> / ele executou tudo de acordo com nossos planos. <b>2</b> dependendo de. <i>they all accomplished their tasks according to their abilities</i> / eles todos completaram suas tarefas dependendo de suas habilidades.
account	<i>n</i> <b>1 </b>conta, cálculo, cômputo. <i>we have an account at the best stores </i>/<i> </i>temos conta nas melhores lojas.<b> 2</b> razão, causa.<b> 3</b> valor. <b>4</b> importância.<b> 5</b> extrato de conta ou balanço.<b> 6</b> relatório de negócios, prestações, crédito, etc.<b> 7</b> conto, relato. <b>8</b> prestação de contas. • <i>vt+vi</i><b> 1 </b>calcular, acertar contas, prestar contas.<b> </b><i>can you account for it?</i> / você pode prestar esclarecimentos a<b> </b>respeito?<b> 2</b> considerar, ter em conta, julgar. <b>account for building costs </b>orçamento para construções civis.<b> a</b> <b>man of great account</b> um homem respeitado. <b>a person of no account</b> uma pessoa sem importância ou insignificante. <b>bank account</b> conta bancária.<b> by all account</b> de acordo com a opinião geral. <b>of no account</b> sem importância, insignificante. <b>on account</b> por conta, a prazo. <b>on account of</b> por causa de, a bem de, no interesse de. <b>on my own account</b> para mim, por iniciativa própria. <b>on no account</b> em hipótese alguma. <b>on that account</b> por causa disto, por esta razão. <b>to account for </b>prestar contas, responder por, ter por, considerar. <i>that accounts for everything </i>/ isto esclarece tudo. <b>to be much </b>(<b>or little</b>)<b> accounted of </b>ser muito (ou pouco) apreciado. <b>to call to account</b> reclamar explicação. <b>to carry to a new account </b>lançar a uma nova conta. <b>to keep accounts</b> escriturar, registrar. <b>to leave out of account</b> desconsiderar, negligenciar. <b>to make a great account of </b>considerar, estimar.<b> to make no account of </b>menosprezar, desprezar. <b>to place it to his account</b> lançar ao débito de sua conta. <b>to settle on account</b> liquidar uma conta. <b>to take account of</b> a) tomar em consideração, considerar. b) tomar nota. <b>to</b> <b>take into account</b> permitir, considerar.<b> upon all accounts</b> em todo caso.<b> upon my account </b>por minha causa.
accountancy	<i>n</i> contabilidade.
accounting	<b> </b><i>n</i><b> </b>contabilidade, princípios teóricos (ou prática) de contabilidade.
accumulate	<i>vt+vi</i> acumular(-se), ajuntar(-se), amontoar(-se), multiplicar-se, reunir.
accumulator	<i>n</i> acumulador.
accuracy	<i>n</i> exatidão, pontualidade, precisão, retidão. <b>accuracy</b> <b>of work </b>exatidão do trabalho (de homem). <b>accuracy to shape</b> exatidão das medidas (do molde). <b>accuracy to size</b> exatidão das medidas.<b> working accuracy</b> precisão do trabalho (de máquinas).
accuse	<i> vt</i><b> 1 </b>acusar, denunciar (<b>of</b> por causa de, <b>before, to </b>junto a).<b> 2</b> censurar, repreender.
accustom	<i>vt</i> acostumar, familiarizar, habituar(-se) (<b>to</b> a).
acetonemia	<i>n Med </i>acetonemia: presença de acetona no sangue.
achieve	<i> vt+vi</i><b> 1 </b>concluir, terminar ou completar com êxito.<b> 2</b> realizar, conseguir, alcançar, conquistar.
achingly	<i>adv</i> doloridamente.
acknowledge	<i>vt</i> <b>1</b> admitir, confessar. <i>I acknowledge it</i> / eu o admito.<b> 2 </b>reconhecer, validar. <i>I acknowledge the truth of it, I acknowledge it to be true</i><b> </b>/<b> </b>reconheço que é verdade.<b> </b><i>do you acknowledge this signature?</i><b> </b>/<b> </b>você reconhece esta assinatura? <b>3</b> apreciar, agradecer.<b> 4</b> acusar, confirmar o recebimento de.<b> </b><i>he acknowledged my presence with a wink</i><b> </b>/<b> </b>ele mostrou ter notado minha presença com um piscar de olhos.<b> 5</b> certificar, autorizar, aprovar.
acquaintanceship	<i>n</i> relações pessoais.
acquire	<b> </b><i>vt</i><b> 1 </b>adquirir, obter, ganhar, granjear. <b>2</b> alcançar, conquistar.<b> 3</b> comprar.<b> 4</b> contrair (hábito).
acquisition	<i>n</i> <b>1 </b>aquisição, ganho, obtenção, conquista. <i>she is a great acquisition in our circle</i><b> </b>/<b> </b>ela é um elemento de valor em nosso grupo.<b> 2</b> compra.
acrimoniously	<i>adv</i> acrimoniosamente, causticamente.
act	<i> n</i> <b>1 </b>ato, ação. <b>2</b> feito, procedimento, obra. <b>3</b> divisão de uma peça teatral. <b>4</b> número de programa (circo, variedades). <b>5</b> decreto, lei, decisão legislativa. <b>6</b> auto, documento. •<i> vi</i><b> 1 </b>agir, atuar, proceder. <b>2</b> funcionar. <i>this lock won’t act</i> / esta fechadura não funciona. <b>3</b> portar-se, conduzir-se. <b>4</b> comportar-se, fingir-se, simular. <b>5</b> influir, influenciar, produzir efeito.<i> the medicine did not act</i><b> </b>/<b> </b>o remédio não fez efeito. <b>6</b> desempenhar (um papel), representar. <i>the play acts well</i> / a peça agrada, a peça desenvolve-se bem no palco.<b> act</b> <b>and deed </b>documento legal. <b>act of faith</b> ato de fé.<b> act</b> <b>of God </b>força maior. <b>act of grace</b> ato de clemência. <b>act</b> <b>of Parliament </b>ata de parlamento. <b>in the act</b> em flagrante. <b>to act as, to act for</b> substituir, fazer o serviço de, desempenhar o papel de. <b>to act by</b> agir para com (uma pessoa). <b>to act on, upon </b>ter efeito sobre, influenciar. <b>to act out</b> expressar em ações. <i>children act out what they see</i> / as crianças expressam em ações o que vêem. <b>to act up</b> <b>1</b> agir de maneira diferente do normal ou esperado.<b> 2</b> comportar-se de maneira volúvel.<b> 3</b> apresentar defeito. <i>my washer often acts up</i> / minha lavadora apresenta defeito com freqüência. <b>to act up to</b> agir de acordo com.<i>abbr </i><b>1 active </b>(ativo).<b> 2 actor </b>(ator).<b> 3 actual </b>(real).
action	<i> n</i><b> 1 </b>ação, funcionamento. <i>suit the action to the word</i><b> </b>/<b> </b>adapte a ação às suas palavras. <b>2</b> atividade, energia. <b>3</b> ato, efeito, empreendimento. <b>4</b> força, influência, poder. <b>5</b> movimento, acionamento. <b>6</b> mecanismo, maquinismo. <b>7</b> batalha, combate. <i>the soldier died in action</i> / o soldado morreu em combate. <b>8</b> encontro armado, choque de tropas. <b>9</b> entrecho, enredo, seqüência de cenas (teatro). <b>10</b> processo, ação judicial. <b>11 actions</b> conduta, comportamento. <b>12</b> <i>sl</i> excitamento, jogo ilícito, relação sexual. <b>action</b> <b>for damages </b><i>Jur</i> queixa de indenização por perdas e danos. <b>action</b> <b>in tort </b>ação ilícita. <b>action</b> <b>of assumpsit<i> </i></b><i>Jur</i><b> </b>ação judicial por quebra de contrato. <b>action of ejectment </b><i>Jur</i><b> </b>ação judicial de reintegração de posse. <b>action</b> <b>on a bill </b>protesto de uma letra de câmbio por falta de aceitação, pagamento, etc. <b>action</b> <b>to set aside </b><i>Jur</i><b> </b>ação judicial de contestação ou anulação. <b>action</b> <b>upon appeal </b>apelação, recurso. <b>full of action</b> ativo, enérgico, vivo. <b>in</b> <b>action</b> em atividade, em movimento. <b>personal action</b> queixa obrigatória. <b>previous action</b> <i>Jur</i> ação preliminar. <b>real action</b> <i>Jur</i> ação real.<b> the action of radium </b>o efeito do radium.<b> to bring </b>(ou<b> lay</b>)<b> an action against </b>intentar uma ação em juízo.<b> to carry </b>(ou<b> put</b>)<b> into action</b> realizar, executar.<b> to put out of action </b>pôr fora do combate.<b> to take action</b> a) agir, proceder. b) iniciar o trabalho. c) <i>Jur </i>processar, iniciar uma ação judicial.
active	<i>adj</i><b> 1 </b>ativo, expedito, diligente.<b> 2</b> vivo, rápido, ágil. <b>3</b> movimentado, atarefado, animado.<b> 4</b> efetivo, vigoroso, laborioso, assíduo.<b> 5</b> progressivo, produtivo.<b> 6</b> <i>Gram</i> ativo.
actively	<i>adv</i><b> 1 </b>ativamente.<b> 2</b> vivamente. <b>3</b> rapidamente.<b> 4</b> efetivamente. <b>5</b> assiduamente.
activity	<i> n</i> <b>1 </b>atividade, diligência, presteza. <b>2</b> ação, feito, vivacidade, movimento. <b>3</b> afazeres, campo de ação. <b>4</b> força, energia.
actor	<i> n</i> <b>1 </b>ator. <b>2</b> autor, agente principal (de um acontecimento).
actual	<i>adj</i> <b>1 </b>presente, vigente. <b>2</b> verdadeiro, real, efetivo. <b>actual horse power </b><i>n Tech</i> cavalos efetivos.
actuality	<i> n</i><b> 1 </b>realidade.<b> 2</b> fato.
actually	<i>adv</i> verdadeiramente.
actuate	<i> vt</i><b> 1 </b>acionar, pôr em movimento, impulsionar. <i>the spring actuates the trap</i> / a mola aciona a armadilha.<b> 2</b> influenciar, estimular, incitar. <i>she was actuated by desire for fame</i> / ela foi estimulada pelo desejo da fama.
acute	<i>adj</i> agudo:<b> 1 </b>pontiagudo, aguçado<b>, </b>afiado. <b>2</b> severo, crítico. <b>3</b> repentino.<b> 4</b> vívido, penetrante, arguto, sensitivo.<b> 5</b> intenso, forte, pungente (dor).<b> 6</b> alto (som), estridente. <b>7</b> acentuado: assinalado com acento agudo.
acutely	<i>adv</i> agudamente, severamente, intensamente, acentuadamente.<b> </b>
ad	<i> abbr</i> <b>Anno Domini</b> (no ano do Senhor).<i> n</i> (forma abreviada de <b>advertisement</b>)<b> </b>anúncio publicitário. <i>to put up ads in a paper</i><b> </b>/ pôr ou publicar anúncios no jornal.
adapt	<i>vi+vt</i> <b>1 </b>adaptar, ajustar, acomodar. <i>she adapted herself to circumstances</i> / ela<b> </b>adaptou-se às circunstâncias.<b> 2</b> apropriar, alterar.
adaptation	<i> n</i> adaptação, acomodação, ajustamento.
add	<i>vt+vi</i><b> 1 </b>adicionar, somar. <b>2</b> juntar, ajuntar, anexar.<b> 3</b> aumentar, acrescentar. <i>this adds to our difficulties</i><b> </b>/<b> </b>isto aumenta ainda as nossas dificuldades.<b> 4</b> continuar a falar ou escrever. <b>he added </b>ele acrescentou, ele mencionou ainda. <b>to add in</b> incluir. <b>to add to</b> contribuir. <b>to add up</b> ou <b>together </b>somar, fazer adição. <b>to add up to</b> chegar a um resultado ou conclusão, concluir.
addict	<i>n</i> viciado. • [2d´ikt] <i>vt</i><b> 1 </b>dedicar(-se), devotar-se.<b> 2</b> habituar(-se), viciar(-se). <b>drug addict</b> viciado em drogas, toxicômano. <b>to addict oneself</b> <b>1 </b>dedicar-se.<b> 2</b> entregar-se (a um vício).
additional	<i>adj</i> adicional, suplementar.
additionally	<i>adv </i>adicionalmente.
address	<i> n</i> <b>1 </b>discurso.<b> 2</b> sede (de uma firma), residência, local.<b> 3</b> endereço. <i>what’s your home</i>/<i>business address?</i> / qual o seu endereço residencial/comercial? <b>4</b> trato, atitude, maneiras.<b> 5 </b><i>pl </i><b>addresses</b> corte, atenções. • [2dr´es] <i>vt</i><b> 1 </b>discursar, dirigir-se a (oralmente ou por escrito).<b> 2</b> tratar, intitular. <b>3</b> chamar a atenção. <b>4</b> falar ou recorrer a. <b>5</b> endereçar, indicar o destinatário.<b> 6</b> devotar(-se), dedicar(-se). <b>to address a meeting </b>fazer<b> </b>uso da palavra numa reunião. <b>to adress oneself to</b> dirigir-se a, interessar-se por. <b>to give an adress </b>fazer<b> </b>um discurso.
adduce	<i>vt</i> aduzir, apresentar provas ou razões, citar, exemplificar.
adequately	<i>adv</i> <b>1 </b>apropriadamente.<b> 2</b> adequadamente, suficientemente.<b> </b>
adhesion	<i> n</i> <b>1 </b>adesão, aderência.<b> 2</b> fidelidade, lealdade.<b> 3</b> concordância, consentimento.<b> 4</b><i> Bot </i>concrescência.<b> 5</b><i> Med </i>coalescência.
adjacent	<i>adj</i> adjacente, próximo, limítrofe, confinante,<b> </b>vizinho.<b> </b>
adjective	<i>n</i> adjetivo. • <i>adj</i> adjetivo, adjetival.
adjust	<b> </b><i>vt+vi</i><b> 1 </b>ajustar, adaptar, arranjar.<b> 2</b> regular, acertar, consertar, retificar, pôr em ordem.<b> 3</b> liquidar (contas), saldar, encerrar (negócios). <b>4</b> acostumar(-se), acomodar(-se).<b> 5</b> harmonizar, conciliar.<b> 6</b> superar dificuldades.
administer	<i>vt+vi</i><b> 1 </b>administrar: a) dirigir, governar, gerir. <i>they administer the country</i> / eles governam o país. b) aplicar, dispensar, conferir, auxiliar, ministrar.<b> </b><i>the priest administered the last sacraments</i> / o padre ministrou (deu) a extrema-unção. c) dar, fornecer, prover.<i> the doctor administered a dose of medicine</i> / o médico ministrou (deu) uma dose de remédio. d) tomar conta (de fazenda, prédios, etc.), reger, superintender.<b> </b>e) exercer o cargo de administrador.<b> </b>f) socorrer, concorrer, ajudar, contribuir.<b> </b><i>she administered help to poor people</i> / ela ajudou pessoas pobres. <b>2</b> prestar ou oferecer juramento.
administration	<i>n</i> <b>1 </b>administração, gerência, direção.<b> 2</b> governo. <b>3</b> ministério, ministro, funcionários administrativos. <b>4</b> <i>Amer </i>o presidente e seu gabinete de ministros.<b> 5</b> termo de gestão de um governo. <b>6</b> ministração, aplicação, distribuição.<b> 7</b><i> Med </i>tratamento, ato de dar ou tomar medicamentos.<b> 8</b> <i>Jur</i> curadoria.
administrative	<i>adj</i> administrativo, executivo.
administrator	<i>n</i> <b>1 </b>administrador. <b>2</b> <i>Jur</i> curador.
admiration	<i>n</i> <b>1 </b>admiração, afeição, simpatia, apreciação, reverência.<b> 2</b> prazer, encanto.<b> 3</b> objeto de admiração.<b> 4</b><i> arch </i>maravilha.
admire	<i> vt</i><b> 1 </b>admirar, apreciar, prezar.<b> 2</b> falar ou contemplar com admiração, reverenciar, adorar.<b> 3</b> <i>Amer </i>gostar de alguém. <b>4</b> <i>arch </i>ficar maravilhado.
