afinal	afinal: adv. finally
afinal de contas	afinal de contas: adv. ultimately
afirmação	afirmação: n. affirmation
afirmar	afirmar: affirm, afirmar: claim
afora	afora: adv. out, afora: adv. outside
afortunado	afortunado: adj. fortunate, afortunado: adj. lucky
africano	africano: adj. African
agência	agência: n. agency, agência: n. bureau
agenda	agenda: n. diary
agente	agente: n. agent, agente: n. officer
agir	agir: act
agitar	agitar: agitate, agitar: wave
agora	agora: adv. now
agosto	agosto: n. August
agradar	agradar: like
agradável	agradável: adj.mf. pleasant
agrário	agrário: adj. agrarian
agravar	agravar: aggravate
agressão	agressão: n. assault
agressivo	agressivo: adj. aggressive
agrícola	agrícola: adj. agricultural
agricultor	agricultor: n. agriculturalist
agricultura	agricultura: n. agriculture, agricultura: n. farming
agrupação	agrupação: n. grouping
agrupamento	agrupamento: n.m. grouping
água	água: n. water
aguardar	aguardar: expect, aguardar: hope, aguardar: wait
agudo	agudo: adj. acute, agudo: adj. sharp
agüentar	agüentar: bear
aguentar	aguentar: bear, aguentar: hold, aguentar: stand
águia	águia: n. eagle
a guisa de	a guisa de: pr. as a
agulha	agulha: n.f. needle
aí	aí: adv. here
ainda	ainda: adv. still, ainda: adv. yet
ainda que	ainda que: cnjadv. although, ainda que: cnjadv. though
a internet	a internet: n. internet, a internet: n. internet
ajuda	ajuda: n.f. aid, ajuda: n.f. help
ajudar	ajudar: help
ajustar	ajustar: adjust
ala	ala: n. wing
alabar	alabar: praise
alarme	alarme: n.m. alarm
álbum	álbum: n. album
alcançar	alcançar: achieve, alcançar: get, alcançar: manage
alcance	alcance: n. extent, alcance: n. range, alcance: n. scope
álcool	álcool: n. alcohol, álcool: n. spirit
alegação	alegação: n. allegation
alegar	alegar: adduce, alegar: allege
alegrar	alegrar: cheer, alegrar: gladden
alegremente	alegremente: adv. breezily, alegremente: adv. cheerfully
alegria	alegria: n.f. joy
além	além: adv. besides
alemão	alemão: n. German, alemão: adj. German
além de	além de: pr. in addition to
algo	algo: prn.tn.nt.sg. anything, algo: prn.tn.nt.sg. something
alguém	alguém: prn. anybody, alguém: prn. anyone, alguém: prn. somebody, alguém: prn. someone
algum	algum: det. any, algum: det. some, algum: det. some, algum: prn. any, algum: prn. some
alheio	alheio: adj. extraneous
aliado	aliado: n. ally
ali	ali: adv. out there, ali: adv. over there
alimentar	alimentar: adj.mf. alimentary, alimentar: adj.mf. food, alimentar: feed
alimentário	alimentário: adj. alimentary, alimentário: adj. food
aliviar	aliviar: ease
alma	alma: n. soul
almoço	almoço: n. breakfast
alojamento	alojamento: n. accommodation, alojamento: n. housing
alpino	alpino: adj. alpine
altamente	altamente: adv. highly
altar	altar: n. altar
alteração	alteração: n. alteration
alterar	alterar: alter
alternativo	alternativo: adj. alternative
altitude	altitude: n. altitude
alto	alto: adj. high, alto: adj. tall
altura	altura: n. altitude
alugar	alugar: rent
alumiar	alumiar: light
aluno	aluno: n.m.sg. pupil, aluno: n.f.sg. pupil, aluno: n.GD.pl. pupil, aluno: n.m.pl. pupil, aluno: n.f.pl. pupil, aluno: n.m.sg. pupil, aluno: n.f.sg. pupil, aluno: n.m.pl. pupil, aluno: n.f.pl. pupil, aluno: n.GD.pl. pupil, aluno: n.m.sg. student, aluno: n.f.sg. student, aluno: n.m.pl. student, aluno: n.f.pl. student, aluno: n.m.sg. student, aluno: n.f.sg. student, aluno: n.m.pl. student, aluno: n.f.pl. student
alusão	alusão: n. allusion
alvo	alvo: n. target, alvo: n. white
amaldiçoar	amaldiçoar: curse
amanhã	amanhã: adv. tomorrow
amante	amante: n. lover
amar	amar: love
amarelo	amarelo: adj. yellow
amargo	amargo: adj. bitter
amargura	amargura: n. bitterness
amável	amável: adj. kind
amavelmente	amavelmente: adv. in kind, amavelmente: adv. kindly, amavelmente: adv. nicely
ambição	ambição: n. ambition
ambicioso	ambicioso: adj. ambitious
ambiental	ambiental: adj. environmental
âmbito	âmbito: n. domain, âmbito: n. field
ambos	ambos: prn. both
ambos os	ambos os: prn. both
ameaça	ameaça: n. threat
ameaçar	ameaçar: loom
americano	americano: n. American, americano: adj. American
amigo	amigo: n. friend
amistoso	amistoso: adj. friendly
amizade	amizade: n. friendship
amo	amo: n.m. landlord
amor	amor: n. love
amostra	amostra: n. sample
amplamente	amplamente: adv. widely
ampliação	ampliação: n. extension
ampliar	ampliar: broaden
amplitude	amplitude: n. amplitude
amplo	amplo: adj. wide
analisar	analisar: analyse, analisar: analyze
análise	análise: n.f.ND. analysis, análise: n.f.sg. analysis, análise: n.f.pl. analysis
anarquista	anarquista: n. anarchist
andamento	andamento: n.m. gear, andamento: n.m. march
andar	andar: n. flat, andar: n. floor, andar: walk
anel	anel: n. ring
anfitrião	anfitrião: n. host
ângulo	ângulo: n. angle
angústia	angústia: n. anxiety
animação	animação: n. animation
animal	animal: n. animal
animar	animar: encourage, animar: warm
aniversário	aniversário: n.m. anniversary, aniversário: n.m. birthday, aniversário: n. birthday
anjo	anjo: n. angel
ano	ano: n. year
ano após ano	ano após ano: adv. from year to year, ano após ano: adv. year after year, ano após ano: adv. year in, year out, ano após ano: adv. year in year out
anonimato	anonimato: n. anonymity
anónimo	anónimo: adj. anonymous
anônimo	anônimo: adj. anonymous
anotar	anotar: note
ânsia	ânsia: n. anxiety, ânsia: n. eagerness
ansiedade	ansiedade: n. anxiety
ansioso	ansioso: adj. anxious
ante	ante: pr. before, ante: pr. in front of, ante: adv. in front
antepassado	antepassado: n. ancestor
anterior	anterior: adj. former, anterior: adj. previous
anteriormente	anteriormente: adv. formerly, anteriormente: adv. previously
antes	antes: adv. before
antes de mais nada	antes de mais nada: adv. before everything, antes de mais nada: adv. before everything else
antigo	antigo: adj. ancient, antigo: adj. antique
antiquado	antiquado: adj. old-fashioned
anual	anual: adj. annual, anual: adj. yearly
anualmente	anualmente: adv. annually
anunciar	anunciar: advertise, anunciar: announce
anúncio	anúncio: n. ad, anúncio: n. advertisement, anúncio: n. announcement, anúncio: n. commercial, anúncio: n. notice
ânus	ânus: n.m.sp. anus, ânus: n.m.sp. anus
ao arredor	ao arredor: adv. around
ao invés de	ao invés de: pr. instead of
ao mesmo tempo	ao mesmo tempo: adv. at a time, ao mesmo tempo: adv. at the same time
aonde	aonde: adv. where
ao redor	ao redor: adv. around
ao todo	ao todo: adv. altogether, ao todo: adv. in total, ao todo: adv. taken altogether
apagar	apagar: erase, apagar: turn off
apanhar	apanhar: trap
aparecer	aparecer: appear, aparecer: show up, aparecer: turn up
aparelho	aparelho: n. device
aparência	aparência: n. appearance
aparente	aparente: adj. apparent
aparentemente	aparentemente: adv. apparently, aparentemente: adv. seemingly
apartamento	apartamento: n. apartment
aparte	aparte: adv. apart
apelação	apelação: n. appeal
apelar	apelar: appeal
apelo	apelo: n.m. call
apenas	apenas: adv. only
apertar	apertar: tighten
apesar que	apesar que: cnjadv. although
aplaudir	aplaudir: applaud
aplauso	aplauso: n. applause, aplauso: n. clap
aplicação	aplicação: n. application
aplicar	aplicar: apply, aplicar: enforce
apoiar	apoiar: lean
apoio	apoio: n. stand, apoio: n. support
apontar	apontar: aim, apontar: point, apontar: prompt, apontar: target
aposentação	aposentação: n. retirement
aposentadoria	aposentadoria: n. retirement
apostar	apostar: bet
apreciar	apreciar: appreciate
apreender	apreender: confiscate
aprender	aprender: learn
aprendizagem	aprendizagem: n.f. learning
apresentação	apresentação: n. presentation
apresentar	apresentar: feature, apresentar: introduce, apresentar: present
a priori	a priori: adv. a priori
aprofundar	aprofundar: deepen
aprovação	aprovação: n. approval
aprovar	aprovar: approve, aprovar: endorse, aprovar: pass
aproveitar	aproveitar: take advantage of
aproximação	aproximação: n. approach, aproximação: n. approximation
aproximadamente	aproximadamente: adv. about, aproximadamente: adv. approximately, aproximadamente: adv. roughly
aproximar	aproximar: approximate
apto	apto: adj.m.sg. apt, apto: adj.f.sg. apt, apto: adj.m.pl. apt, apto: adj.f.pl. apt, apto: adj.GD.pl. apt, apto: adj. apt, apto: adj. fit
aquecer	aquecer: heat, aquecer: warm
aquecimento	aquecimento: n. warming
aquele	aquele: det. that, aquele: det. that, aquele: prn. that, aquele: prn. that
aqui	aqui: adv. here
aquilo	aquilo: prn. that
aquisição	aquisição: n. acquisition
árabe	árabe: adj. Arab
aranha	aranha: n. spider
arar	arar: plough
ar	ar: n. air
árbitro	árbitro: n. referee
arcebispo	arcebispo: n. archbishop
arco	arco: n. arch
ardente	ardente: adj. burning
arder	arder: burn
área	área: n. area
areia	areia: n. sand
a respeito de	a respeito de: pr. about, a respeito de: pr. on
argentino	argentino: adj. Argentine
argumentar	argumentar: argue
argumento	argumento: n. argument
arma	arma: n. arm, arma: n. weapon, arma: n. weapon
armadilha	armadilha: n.f. trap, armadilha: n. trap
armadura	armadura: n. armour
armamento	armamento: n. armament
armar	armar: arm
armazenar	armazenar: store
aroma	aroma: n.m. aroma
arqueológico	arqueológico: adj. archaeologic
arquitecto	arquitecto: n.m.sg. architect, arquitecto: n.f.sg. architect, arquitecto: n.GD.pl. architect, arquitecto: n.m.pl. architect, arquitecto: n.f.pl. architect, arquitecto: n.m.sg. architect, arquitecto: n.f.sg. architect, arquitecto: n.m.pl. architect, arquitecto: n.f.pl. architect, arquitecto: n.GD.pl. architect
arquitectura	arquitectura: n. architecture
arquiteto	arquiteto: n.m.sg. architect, arquiteto: n.f.sg. architect, arquiteto: n.m.pl. architect, arquiteto: n.f.pl. architect, arquiteto: n.m.sg. architect, arquiteto: n.f.sg. architect, arquiteto: n.m.pl. architect, arquiteto: n.f.pl. architect
arquivo	arquivo: n. file, arquivo: n. archive
arranjar	arranjar: fix
arranjo	arranjo: n. arrangement
arranque	arranque: n.m. start
arrastar	arrastar: drag
arrebato	arrebato: n. rage
arrecadação	arrecadação: n. collection
arrecadar	arrecadar: collect
arredor	arredor: adv. around
arrendamento	arrendamento: n. lease
arrendar	arrendar: lease
arriba	arriba: adv. above
arrojar	arrojar: launch
arsenal	arsenal: n. arsenal
arte	arte: n.f. art
artefacto	artefacto: n. artifact
artefato	artefato: n. artifact
artesanato	artesanato: n. handicraft
artesão	artesão: n. artisan
articular	articular: articulate
artificial	artificial: adj. artificial
artigo	artigo: n. article, artigo: n. paper
artista	artista: n. artist, artista: n. entertainer
artístico	artístico: adj. artistic
árvore	árvore: n.f. tree
asa	asa: n. wing
às cegas	às cegas: adv. sight unseen
ascender	ascender: climb
ascensão	ascensão: n.f. promotion
asco	asco: n. disgust
asfixiar	asfixiar: suffocate
asiático	asiático: n. Asian, asiático: adj. Asian
asilo	asilo: n. asylum
asno	asno: n. ass
aspecto	aspecto: n. appearance, aspecto: n. aspect, aspecto: n. look
áspero	áspero: adj. rough
assalto	assalto: n. round
assassinato	assassinato: n. killing, assassinato: n. murder
assassino	assassino: n. murderer
assegurar	assegurar: ensure, assegurar: insure, assegurar: secure
assembleia	assembleia: n. assembly
assembléia	assembléia: n. assembly
assento	assento: n. seat
assim	assim: adv. like this, assim: adv. thereby, assim: adv. thus
assim mesmo	assim mesmo: adv. likewise
assinalar	assinalar: point, assinalar: signal
assinar	assinar: sign
assinatura	assinatura: n. signature, assinatura: n. subscription, assinatura: n. signature
assistência	assistência: n. assistance
assistente	assistente: n. assistant
assistir	assistir: assist
associação	associação: n. association
assomar	assomar: aim, assomar: prompt
assombrar	assombrar: surprise
assombro	assombro: n.m. surprise
assombrosamente	assombrosamente: adv. surprisingly
assumir	assumir: assume
assunto	assunto: n. affair, assunto: n. issue, assunto: n. matter, assunto: n. subject
assustar	assustar: frighten, assustar: scare
astronauta	astronauta: n. astronaut
astrónomo	astrónomo: n. astronomer
astrônomo	astrônomo: n. astronomer
astuto	astuto: adj. cunning
as vezes	as vezes: adv. sometimes
às vezes	às vezes: adv. sometimes
atacante	atacante: n. attacker
atacar	atacar: attack, atacar: strike
atadura	atadura: n.f. ligament
ataque	ataque: n. attack, ataque: n. stroke
atar	atar: bind, atar: tie
até	até: pr. until, até: pr. up to
até mesmo	até mesmo: adv. even
atenção	atenção: n. attention
atenciosamente	atenciosamente: adv. attentively
atender	atender: attend
atendimento	atendimento: n.m. attention
atentado	atentado: n. attack, atentado: n. attempt
atentamente	atentamente: adv. attentively
atentar	atentar: attack
atento	atento: adj. attentive
aterrizar	aterrizar: land
atingir	atingir: achieve, atingir: get, atingir: manage
atitude	atitude: n. attitude
ativamente	ativamente: adv. actively
ativar	ativar: actuate
atividade	atividade: n. activity
ativo	ativo: adj. active
atleta	atleta: n. athlete
atletismo	atletismo: n. athletics
à toa	à toa: adv. without rhyme or reason
ato	ato: n.m. act
atómico	atómico: adj. atomic
atômico	atômico: adj. atomic
ator	ator: n. actor
a torto e a direito	a torto e a direito: adv. indiscriminately
atração	atração: n. attraction, atração: n. pull
atractivo	atractivo: n. appeal, atractivo: adj. attractive
atraente	atraente: adj.mf. attractive
atraiçoar	atraiçoar: betray
atrair	atrair: attract
atrapar	atrapar: trap
atrasar	atrasar: delay, atrasar: retard
atrás	atrás: adv. back, atrás: adv. backwards
atraso	atraso: n. delay
atrativo	atrativo: n. appeal
atribuir	atribuir: assign, atribuir: attribute
atuação	atuação: n. performance
atual	atual: adj. current
atualidade	atualidade: n. actuality
atualmente	atualmente: adv. at present
audaz	audaz: adj.mf.pl. audacious, audaz: adj.mf.sg. audacious
audiência	audiência: n. audience, audiência: n. hearing
audiovisual	audiovisual: adj. audiovisual
auditório	auditório: n. auditorium
aumentar	aumentar: boost, aumentar: increase, aumentar: raise, aumentar: rise
aumento	aumento: n. increase, aumento: n. rise
ausência	ausência: n. absence
ausente	ausente: adj. absent
australiano	australiano: adj. Australian
austríaco	austríaco: adj. Austrian
autêntico	autêntico: adj. authentic
auto	auto: n.m.sg. act, auto: n.m.pl. performance
autocarro	autocarro: n.m. coach
automaticamente	automaticamente: adv. automatically
automático	automático: adj. automatic
automóvel	automóvel: n. car
autonómico	autonómico: adj. autonomic
autonômico	autonômico: adj. autonomic
autónomo	autónomo: adj. autonomous
autônomo	autônomo: adj. autonomous
autópsia	autópsia: n. autopsy
autor	autor: n. author
autoridade	autoridade: n. authority
autorizar	autorizar: authorize, autorizar: entitle
aval	aval: n. guarantee
avaliação	avaliação: n. evaluation
avaliar	avaliar: assess, avaliar: evaluate
avariar	avariar: break
avenida	avenida: n. avenue
aventura	aventura: n. adventure, aventura: n. venture
aversão	aversão: n. aversion, aversão: n. dislike, aversão: n. hatred
aviação	aviação: n. aviation
avião	avião: n. aircraft, avião: n. airplane, avião: n. plane
avô	avô: n. grandfather, avô: n. grandfather, avô: n. grandmother, avô: n. grandparent, avô: n. grandparent
azarado	azarado: adj. miserable
azeite	azeite: n. oil
azul	azul: adj.mf. blue
bactéria	bactéria: n.f. bacterium
bagagem	bagagem: n.f. baggage, bagagem: n.f. luggage
baía	baía: n. bay
bailarino	bailarino: n. dancer
bairro	bairro: n. neighbourhood, bairro: n. quarter
baixar	baixar: go down
baixo	baixo: adj. low, baixo: adj. short, baixo: adv. under
bala	bala: n. bullet
balanço	balanço: n. balance
balão	balão: n.m.ND. globe, balão: n.m.pl. globe, balão: n.m.sg. globe
balear	balear: adj. Balearic
balir	balir: bleat
banco	banco: n. bank
banda	banda: n. band, banda: n. strip
bandeira	bandeira: n. flag
banqueiro	banqueiro: n. banker
banquete	banquete: n. banquet
baptizar	baptizar: baptize, baptizar: dub
baralhar	baralhar: stir
barato	barato: adj. cheap
barba	barba: n. beard
bar	bar: n. bar
barbear	barbear: shave
barca	barca: n. boat
barco	barco: n. ship, barco: n. vessel
barra	barra: n. bar, barra: n. rail
barranco	barranco: n. ravine
barreira	barreira: n. barrier
barril	barril: n. drum
basear	basear: base
base	base: n. base, base: n. basis
basebol	basebol: n. baseball
basicamente	basicamente: adv. basically
básico	básico: adj. basic
basílica	basílica: n. basilica
basquete	basquete: n. basketball
basquetebol	basquetebol: n. basketball
bastante	bastante: adv. enough, bastante: adv. quite a lot, bastante: adv. rather
bastar	bastar: suffice
batalha	batalha: n. battle
batalhão	batalhão: n. batallion
bater	bater: beat
batizar	batizar: baptize
bêbado	bêbado: n. drunkard
beber	beber: drink
bebida	bebida: n. drink
beijo	beijo: n. kiss
beisebol	beisebol: n. baseball
beleza	beleza: n. beauty
belo	belo: adj. beautiful
bem	bem: n. good, bem: adv. all right, bem: adv. alright, bem: adv. fine, bem: adv. good, bem: adv. right, bem: adv. well
bem-estar	bem-estar: n. welfare
bem mais	bem mais: adv. all the more, bem mais: adv. much longer, bem mais: adv. much more
bem na frente	bem na frente: adv. right in front
bênção	bênção: n. blessing
beneficiar	beneficiar: benefit
benefício	benefício: n. benefit, benefício: n. gain, benefício: n. profit
bengala	bengala: n.f. clave
berço	berço: n.m. cradle, berço: n. dock
bíblico	bíblico: adj. biblical
biblioteca	biblioteca: n. library
bibliotecário	bibliotecário: n. librarian
bicha	bicha: n. rank, bicha: n. row, bicha: n.f. tail
bico	bico: n. beak
bilateral	bilateral: adj. bilateral
bilhete	bilhete: n. note, bilhete: n.m. passage, bilhete: n. ticket
bilião	bilião: n. trillion
biológico	biológico: adj. biological
bispo	bispo: n. bishop
blindar	blindar: armour
bloco	bloco: n. block
boato	boato: n.m. rumble
bobagem	bobagem: n. foolishness
boca	boca: n. mouth
bochecha	bochecha: n. cheek
boicote	boicote: n. boycott
bola	bola: n.f. balloon, bola: n.f. bowl
boliviano	boliviano: adj. Bolivian
bolsa	bolsa: n.f. bag, bolsa: n. grant, bolsa: n. scholarship
bomba	bomba: n. bomb, bomba: n. pump
bombardear	bombardear: bomb
bombardeio	bombardeio: n. bombardment
bom	bom: adj. fine, bom: adj.m.sg. good, bom: adj. good
bondade	bondade: n. goodness, bondade: n. kindness
boneco	boneco: n.f. doll
bonito	bonito: adj. beautiful, bonito: adj. pretty
borbulha	borbulha: n. bubble
borracha	borracha: n. rubber
bosque	bosque: n. forest, bosque: n. wood, bosque: n. wood
botão	botão: n. button
botim	botim: n. booty
boxe	boxe: n.m. boxing
braço	braço: n. arm, braço: n. arm
branco	branco: adj. white
brando	brando: adj. soft
brasileiro	brasileiro: adj. Brazilian
breve	breve: adj. brief
brilhante	brilhante: adj. bright, brilhante: adj. brilliant
brilhar	brilhar: shine
brinquedo	brinquedo: n.m. toy
britânico	britânico: n. British, britânico: adj. British
brutal	brutal: adj. brutal
brutalmente	brutalmente: adv. brutally
bruto	bruto: adj. dirty
buraco	buraco: n. hole
burrice	burrice: n. stupidity
busca	busca: n. pursuit, busca: n. research, busca: n. search
buscar	buscar: look for
cabalmente	cabalmente: adv. totally
cabeça	cabeça: n.f. boss, cabeça: n.f. cape, cabeça: n.f. head
cabelo	cabelo: n. hair
caber	caber: fit
cabo	cabo: n.m. boss, cabo: n. cable, cabo: n.m. cape, cabo: n. handle, cabo: n.m. head, cabo: n. wire
cá	cá: adv. here
caçoar	caçoar: kid
cada	cada: det. each, cada: det. every
cadeia	cadeia: n. chain
cadeira	cadeira: n. chair, cadeira: n.f. seat
cadeirão	cadeirão: n.m. armchair, cadeirão: n.m. seat
café	café: n. coffee
cair	cair: fall, cair: fall down
caixa	caixa: n.f. box
calçado	calçado: n. footwear
calcular	calcular: calculate, calcular: estimate, calcular: reckon
cálculo	cálculo: n. calculation
calefação	calefação: n. heating
calefacção	calefacção: n. heating
calendário	calendário: n. calendar
calmo	calmo: adj. calm, calmo: adj. quiet
calor	calor: n.m. heat
cama	cama: n.f. bed
camada	camada: n. layer
câmara	câmara: n. camera
câmbio	câmbio: n.m. change
câmera	câmera: n. camera
caminhão	caminhão: n. lorry, caminhão: n. truck
caminhar	caminhar: walk
caminho	caminho: n. lane, caminho: n. path, caminho: n. way
camisa	camisa: n. shirt
camisola	camisola: n.f. jumper
campanha	campanha: n. campaign
campeão	campeão: n. champion
campeonato	campeonato: n. championship
campo	campo: n. camp, campo: n. countryside, campo: n. field
camponês	camponês: n. peasant
campus	campus: n. campus, campus: n. campus
câmpus	câmpus: n. campus
cana	cana: n. cane
canadense	canadense: n.mf. Canadian, canadense: adj.mf. Canadian
canal	canal: n.m. channel
canção	canção: n. song
cancelar	cancelar: cancel
câncer	câncer: n. cancer
cancro	cancro: n. cancer
candidato	candidato: n. candidate
candidatura	candidatura: n. candidature
caneca	caneca: n. cup
cantar	cantar: sing
canto	canto: n. singing, canto: n. song
cantor	cantor: n.GD. singer, cantor: n.m. singer, cantor: n.f. singer
cão	cão: n. dog
caos	caos: n. chaos, caos: n. chaos
capa	capa: n. coat, capa: n. layer
capacete	capacete: n. helmet
capacidade	capacidade: n. capability, capacidade: n. capacity, capacidade: n. qualification
capaz	capaz: adj.mf.pl. able, capaz: adj.mf.sg. able, capaz: adj.mf.pl. capable, capaz: adj.mf.sg. capable
capital	capital: n.m. capital, capital: n.f. capital, capital: adj. principal
capitalismo	capitalismo: n. capitalism
capitão	capitão: n. captain
capítulo	capítulo: n. chapter
capturar	capturar: capture
cara a cara	cara a cara: adv. face to face
cara	cara: n. face
carácter	carácter: n. character
característica	característica: n. characteristic, característica: n. feature
caracterizar	caracterizar: characterize
caráter	caráter: n. character
caravana	caravana: n. caravan
carbono	carbono: n. carbon
cárcere	cárcere: n.m. prison
cardeal	cardeal: n. cardinal
cardíaco	cardíaco: adj. cardiac
carência	carência: n. lack
careta	careta: n. grimace
carga	carga: n. charge, carga: n. load
cargo	cargo: n. charge, cargo: n. post
caridade	caridade: n. charity
carinhoso	carinhoso: adj. fond
carne	carne: n. flesh, carne: n. meat
caro	caro: adj. expensive
carreira	carreira: n. career, carreira: n. race, carreira: n. racing, carreira: n. run, carreira: n. running
carro	carro: n. auto, carro: n. car
carta	carta: n. card, carta: n. letter, carta: n. menu
cartão	cartão: n.m. card
cartaz	cartaz: n.m. banner, cartaz: n. poster
carteiro	carteiro: n. postman
cartel	cartel: n. poster
carvão	carvão: n. coal
casa	casa: n. home, casa: n. house, casa: n. household
casal	casal: n.m. couple, casal: n. marriage
casamento	casamento: n. wedding, casamento: n.m.pl. wedding, casamento: n.m.sg. wedding
casco	casco: n. helmet
caso	caso: n. case, caso: n. instance, caso: cnjadv. if
castelhano	castelhano: n. Spaniard, castelhano: adj. Spanish
castelo	castelo: n. castle
castigar	castigar: punish
castigo	castigo: n. punishment
casual	casual: adj. casual
catalão	catalão: n. Catalan, catalão: adj. Catalan
catálogo	catálogo: n. catalogue
catarata	catarata: n. cataract
catástrofe	catástrofe: n. catastrophe
cátedra	cátedra: n. chair
catedral	catedral: n. cathedral
cativeiro	cativeiro: n.m. captivity
católico	católico: adj. Catholic
causa	causa: n. cause
causar	causar: cause
cavaleiro	cavaleiro: n.m. rider
cavalo	cavalo: n. horse
cavar	cavar: dig
cedo	cedo: adv. early, cedo: adv. soon
cego	cego: adj. blind
cela	cela: n. cell
celebração	celebração: n. celebration
celebrar	celebrar: celebrate
célebre	célebre: adj. famous
célula	célula: n. cell
cemitério	cemitério: n. cemetery
cena	cena: n. scene
cenário	cenário: n. stage
cenografia	cenografia: n. scenography
censura	censura: n. censorship
centena	centena: n.f. hundred
centímetro	centímetro: n. centimetre
central	central: n. switchboard, central: adj. central, central: adj. centre, central: adj.mf. centrical, central: adj.mf. downtown
centrar	centrar: center, centrar: centre, centrar: focus
